"text","place_lat","place_lon"
"I'm at New York Penn Station in New York, NY https://t.co/E6qgd1SHxA",40.780709,-73.9685415
"@Lowpolybot @wachimol Dear gosh",37.37849155,-77.504144
"Life's a dance you learn as you, sometimes you lead sometimes you follow!",38.8051145,-77.2369685
"For real ‚Äú@erickend: I'm not embarrassed asking for socks and underwear for Christmas. That shit's expensive and I need it!‚Äù",36.0869725,-80.244984
"I want to go get my nails done tooÌ†ΩÌ∏≠",41.4959395,-81.7054672
"@mcruise16 but I don't want to...",42.0325065,-93.6393635
"Waitress asked if we wanted the check before we even got our food. Hahaha, wait, what??? I almost said yes cause she caught me off guard.",43.090742,-70.81240355
"Unless you're dating me, friends or infatuated with me why the hell do you care what I do or what I look like",41.82373435,-88.18595475
"That final week stress reliever doe",40.794681,-72.876826
"@feingersh bruh",44.900802,-89.5694915
"Shoppin n shytÌ†ΩÌπåÌ†ΩÌ∏ú",35.54260355,-86.53437355
"A big thank you to @StevenDickens3 for being a perfect host this week! Look forward to seeing you in Jan! #mainframe http://t.co/qtTpskkzHV",40.67087955,-73.8311875
"That take it to the mirror let me hit from behind .",34.0207895,-118.4119065
"plz god let me leave this house now!!!!",39.0984355,-77.2308875
"Bringing home the babies #newskis #salomon http://t.co/73nbcPzqXL",40.0239815,-105.24268645
"@ameliannaire just threw a knife at @MackenzieMattix",38.3045585,-92.4367735
"@ArmbarNation @RowdyBec @heatherjoclark bec  by decision",40.0048655,-75.117998
"@Nashgrier #NashsNewVideo 
It was so funny Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç
http://t.co/xYIW6zWK7e
I love you Ì†ΩÌπàÌ†ΩÌπà‚ùÑÔ∏èÌ†ΩÌ≤ã
@Nashgrier #NashsNewVideo",45.188407,-68.984705
"Be strong my loves... You never know who you're inspiring .... Ì†ΩÌ≤™Ì†ΩÌ∏â",37.2691755,-119.3066075
"@ChesneyGirl09 @kennychesney @BBVACompassStdm @jakeowen @ChaseRiceMusic @cidentertainmnt Hard to wait til May 2015! Miss my music fix!!",32.1893905,-110.9155735
"#Tehachapi, CA #Automotive #Job: Tire Care Maintenance Technician at Love's Travel Stops &amp; Country St... http://t.co/sTgBNftKbU",35.11902455,-118.500979
"It's fun being blocked Ì†ΩÌ∏Ç",37.331123,-79.249025
"I stopped by work after my conference only to find that this happened to my cube... !?Ì†ΩÌ∏°Ì†ΩÌ±äÌ†ΩÌ∏ßÌ†ΩÌ∏î http://t.co/I7a6ryilly",33.12148405,-117.2879235
"you know what? you're all getting dildos. men too. merry christmas.",40.0239815,-105.24268645
"I can't wait to go to the resort this summer and spend a week on the beach with a pi√±a colada in my hand. Ì†ΩÌ∏ç",27.698682,-83.804475
"@AndyTheDude @MarkKriegel @NFL_AM Have you ever heard of the Philadelphia Eagles? Strongest chance ever for SB appearrance. Read Option",37.096519,-94.49822825
"The few seconds in between from when the time out is called and they actually stop the clock adds up over time. Terrible by the clock crew",41.1179365,-77.604684
"‚Äú@Hai_L9: Some things don't change huh.. :P #smitevicious‚ÄùÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç",37.331159,-121.8737305
"Half time in #sincity Blazers 51, Bulls 59. Betting the house on a big #RipCity 2nd half. #NFR2014",36.0609645,-115.1351649
"I see Rasheed Wallace right now manÌ†ºÌøÄ he's a legend",42.51700805,-83.2760278
"""@ImMufasa_: I'm a sucker for paragraphs &amp; unexpected shit""Ì†ΩÌπå",29.6731715,-82.3302695
"LanguageLine Solutions: Rade Interpreters (#Portland, OR) http://t.co/WPIrzg2UJD #CustomerService #interpreter #bilingual #Job",45.53640175,-122.63090815
"So I'm watching 10 Things I Hate About You with my girlfriend Alexandra she's also multitasking playing Second Life",34.0207895,-118.4119065
"I'm at The Fillmore Silver Spring - @fillmoress for HIM in Silver Spring, MD https://t.co/iQk5EEkGtj",39.0083495,-77.017853
"Way too gone x young jeezy chop song Ì†ºÌΩªÌ†ºÌΩªÌ†ºÌΩªÌ†ºÌΩªÌ†ºÌΩª",29.8384948,-95.4464865
"‚Äú@90syears: who remembers these?? http://t.co/Wcz75fFGAd‚Äù still got them",35.13352055,-89.922029
"Amen !!!!!",41.5197375,-81.4909133
"#SnowmassVillage, CO #Hospitality #Job: Guest Service Agent - Villas (F... at Destination Resorts Snowmass http://t.co/ZLq6B8w9bz",38.997936,-105.5508905
"@bdashsolt no one",34.0207895,-118.4119065
"@jlum97 I'm proud of you",43.474162,-70.438882
"‚Äú@nuteIla: When bae does something cute but you still mad at him https://t.co/95f7kC5lMi‚ÄùÌ†ΩÌ∏çÌ†ΩÌ≤ò",44.9706105,-93.261863
"she's in love with the coco",41.1353175,-112.0648
"@hayrae7 I don't want to Ì†ΩÌ∏≠Ì†ΩÌ∏≠",38.407664,-82.4398343
"Jourdan made my day yesterdayÌ†ΩÌ±å #clutch",29.8384948,-95.4464865
"Winslow holds off Gardiner, 42-33. Raiders were 7 of 9 from the line in the 4th quarter. #mesports",44.5506075,-69.608495
"‚Äú@mikayla_milburn: Love my swim team so much‚ù§Ô∏è‚Äù",40.9176595,-81.1124265
"Excited because I get to see
all my babes tonight Ì†ΩÌ≤ïÌ†ΩÌ≤õÌ†ΩÌ±Ø",45.484892,-122.805579
"@Littl3f00t420 I'm here",36.1093915,-95.9136419
".@Gannon_3 @Krustabuhl5 ""wake me up when we start practicing the short range jumper""- Andre kirilenko",40.156801,-75.2222375
"These niggas Ì†ΩÌ∏ÇÌ†ΩÌ∏≠Ì†ΩÌ∏ÇÌ†ΩÌ∏ÖÌ†ΩÌ∏Ç",42.478737,-70.966855
"I'm making him mad Ì†ΩÌ∏©Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ≤ÄÌ†ΩÌ≤ÄÌ†ΩÌ∏©Ì†ΩÌ∏Ç",38.8051145,-77.2369685
"@wordsonpages @typebooks @MarthaBaillie @HijSeries enjoy! It is wonderful!",43.629311,-79.2725695
"I'm disrespectful when I'm in this mood",41.624183,-83.7351115
"knew #oomf wanted #oomf LMFAAOOO",31.0793065,-97.75384
"Slowly gonna advertise this game because I highly recommend. LOLOL
https://t.co/qtCzXQCZ0O",33.810159,-117.824049
"Having way too many ‚Äúas seen on TV‚Äù moments.",40.812573,-73.96215125
"This conversation rn lolÌ†ΩÌ∏Ç",32.7799665,-97.2859135
"Guys I've missed willow so much",40.3651595,-82.669449
"‚Äú@extrasexual: all i really want for Christmas Ì†ΩÌ∞∂Ì†ΩÌ≤∏ http://t.co/n8u4O1MNw9‚Äù @_michaelaturner",30.937336,-91.4010085
"‚Äú@Calum5SOS: @Dat1D5SOSgirl .. Depends what kind of bread you're talking about ;)‚Äù luke ???",34.0060125,-118.4089901
"This last episode of AHS was weird AF",34.12167,-117.56215255
"Way to fuck your friend over stupid bitch",28.248527,-82.717093
"Planned my whole day around the Tuscarora game. We are #FortuneStrong Ì†ΩÌ≤ôÌ†ΩÌ≤ôÌ†ΩÌ≤ô",38.0033755,-79.420865
"@JackMonahan9 @andreacolavito7 let Trevor know hes never getting a ride home",34.0380318,-84.19206825
"@echointhebone @TBursoni oh no! be safe",29.8384948,-95.4464865
".03 away from the school recordÌ†ΩÌ∏ë",43.209482,-77.943531
"~Thank you for the RT @MikeDaltonBooks",33.4057545,-111.7375657
"‚Äú@arwilso7:So the Pope said that ALL of God's creatures go to Heaven,including dogs and donkeys.Yeah,that's probably the best news all day,‚Äù",35.8305215,-85.9785995
"Starting my Friday night off with a bleach blonde Brad Pitt.",41.72223055,-111.817049
"10 hours of working, orientation, training, computer classes and quizzes. I past them all and got all my certifications!!",27.698682,-83.804475
"@wareagleextra Sure wish you'd stick around one more year, but totally understand if you go pro. Good Luck at the next level. WDE!!!",27.698682,-83.804475
"I love waking up from a nap &amp; no one is home. it's so peaceful",33.98733245,-117.67325745
"That leave a toothbrush at ya crib love.",36.786042,-119.7824935
"RT- Darren Hardy's Weekend Challenge: The 1 thing I want more in my life is love 1 of the most valuable personal... http://t.co/31WWTKjeoL",36.37399555,-94.21874445
"‚Äú@HuffPostCollege: 3 GDIs stole a live chicken, killed it, and ate it in a dorm http://t.co/Ge8X7FBEIy‚Äù

Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç weak that they called em GDI's",33.39288415,-111.928142
"@Play_Asap_ Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏≠Ì†ΩÌ∏ÇÌ†ΩÌ∏≠Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏≠Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç I'm bluffin",41.500753,-72.757385
"paige maffeo is an great person",41.30310275,-72.858919
"@AceAKAYoungn ‚Ä¢ beat by #SampleGods @ACtooTRILL &amp; @I_AmGWhite 

Party!

https://t.co/kgEGtgd5zH http://t.co/ZRvn7n1gHF",32.595264,-96.9596635
"My #beautiful girl. She's growing up too quick. Celebrating Giovanni's birthday. @ Chuck E. Cheese's http://t.co/LfvxGKeqkp",29.668301,-95.15893585
"@Leiyahh_Shanade dress warm",38.64612015,-77.35893915
"Sorry family no Christmas presents for you since I just dropped $200 on taxi fare :))))))",34.0207895,-118.4119065
"@yyzbambina @Mom2Michael I'm coming to say hi! Hopefully I can find you guys :)",43.629311,-79.2725695
"Just cuz finals are finally over. I hope everyone enjoys their break ! 

Cuz I know I am .. Ì†ΩÌ∏à http://t.co/TT6Gzy1xuc",36.090397,-79.8573635
"https://t.co/r1JGgfVEhz I CANT BREATH DISHDSIOU",33.5528626,-112.1246767
"Nick Winar a jumper for @CFBlackTigers, which leads @SMFSports 25-20.",41.1525105,-81.8409045
"Party of 1",27.9136125,-81.97133135
"I will not subtweet I will not subtweet I will not subtweet",38.195555,-85.7223455
"Ì†ΩÌ±ë princess tori Ì†ΩÌ≤Å",33.8245139,-78.688827
"Going back to the lab round bout 12 o clock",26.58236025,-81.73913515
"This little kid going to Hollywood!  She out here signing http://t.co/kpieUJhbr6",41.83358445,-87.732013
"Forever 21 is playing head over heels / tears for fears.",36.12095495,-115.3353435
"@Hayley_Nelson_ come over to ders you queer",48.0831884,-121.96655
"Y'all niggas actin brand new.",45.53640175,-122.63090815
"bought a few new candles / incense todayÌ†ΩÌ∏ç http://t.co/Y5aPaai6yT",42.99366425,-78.8818
"I'm craving everything. Ì†ºÌΩüÌ†ºÌΩïÌ†ºÌΩîÌ†ºÌΩùÌ†ºÌΩ¶Ì†ºÌΩ®Ì†ºÌΩ∞Ì†ºÌΩ©Ì†ºÌΩúÌ†ºÌΩ™Ì†ºÌΩ´",33.2024957,-97.1147705
"@terrie_lynn95 have swimming practice at the gym at like 7 on Tuesday and Thursday. A girl on the running club is also on triknights.",27.63536515,-80.4917725
"I'm really just hoping that we can make things work this time around.",37.6838965,-97.3439065
"Ppl are confusing Ì†ΩÌ∏ï",35.0919547,-85.242564
"I been sleep since 3:00 Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç",30.0978905,-90.994416
"Honestly, to hell with anyone who forces someone to live their way. My life, my college major, my job. NOT YOURS.",45.00118,-86.2705535
"Dad I know what slashing is please stop rewinding the TV to show me",41.1179365,-77.604684
"Leaving this week at the door. @ LifeCore Yoga http://t.co/DzGP7t5ZCk",45.1015695,-93.0917325
"@oliviapaige_ you're too lucky",42.27576,-71.812438
"I got to be outt mind Ì†ΩÌ∏û",29.982601,-90.011008
"why would you smoke in the car when you know I have to dance and I don't wanna smell like smoke Ì†ΩÌ∏°",33.5528626,-112.1246767
"Thank you Jesus, for putting this beautiful man next to me in the library Ì†ΩÌ∏ç #holymoly",44.540012,-89.5494475
"You're building me up just to break me down.",32.092979,-96.4765385
"#Healthcare #Job in #SugarLand, TX: STERILEPROCESG TECH (PRN / E... at Houston Methodist Sugar Land Hos... http://t.co/jrCENyYkAu",29.6034639,-95.6316893
"GET ME OUT OF THIS CAR NOW",28.219121,-82.4471605
"@Lira_Galore @DaBlacBombshell Yea, you look like a big girl, of the world!! Look like it !,",33.76721745,-84.433106
"if you keeping ur promise im keeping mine",32.6782075,-83.1738665
"What happened to us?",45.00118,-86.2705535
"#TweetMyJobs #Nursing #Job alert: Care Manager / CNA | Sunrise Senior Living | #Westminster, CO http://t.co/wgxxZfDWJ9 #Jobs",39.9472495,-105.0722312
"@deborahanneneri my *home*",40.6501815,-74.3231425
"I s2g does anyone even read my follow up tweets",41.83358445,-87.732013
"@DEUSxLUPUS Go Home &amp; Hit The Track",40.9445675,-73.860857
"@Nashgrier best reactions ever go check out #NashsNewVideo SOOO FUNNYÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç",42.1461705,-71.2489025
"Final EM 29 Essex 57. Keep working hard, ladies! #WeAreEastMills",41.9382285,-93.3898835
"Every little thing is getting me mad at the moment.",33.769045,-117.9685397
"I just woke up from the best nap in the world",40.648987,-73.5842655
"you feel me ‚òÅÔ∏è @ Dr. Phillips High School http://t.co/EXkDOTBx0b",28.50167835,-81.36777265
"Sooo glad to have my car back. Ì†ΩÌπå",33.568099,-92.842212
"@fe72ae LMFAOOOOOLMAOOO DEAD BYE",29.6034639,-95.6316893
"To all the people who drove behind me with your brights on, I hope every single one of you steps on a Lego. Ì†ΩÌ∏í",32.4823035,-84.91730695
"I miss ha when she gone like were my G at ?  !",38.24656185,-85.64650775
"Remember yo try kome at me sideways",39.146386,-76.558131
"Go check out #NashNewVideo if you haven't! And even if you did watch it again and give it a thumbs upÌ†ΩÌ±ç
http://t.co/Kc59tIIz7z 
@Nashgrier 15",41.991771,-87.8757025
"@Harmonix holiday bash! (@ The Middle East Downstairs - @mideastclub in Cambridge, MA) https://t.co/8UN9eAGgmB",42.37819765,-71.112377
"My pleasure, Jody! TY! @ShowoffByDesign @scedmonds @TamaraMcCleary @iampete @silentseawolf @MarquesKs",39.713563,-104.9220935
"I can officially say that I have run out of gas. Fml",45.188407,-68.984705
"The universe is a cruel cruel prankster",25.7476345,-80.334528
"@DaF5ve9 pennies nickels &amp; dimes to but he stuntin Ì†ΩÌ∏éÌ†ΩÌ∏Ç",35.3469013,-118.99982655
"And tonight on
Exceedingly weird smut",41.674542,-86.1531435
"#Ottawa, ON #IT #Job: Tester - Level 2 - B at CGI http://t.co/yuPoTvBbaf #Jobs #TweetMyJobs",45.248224,-75.8001415
"Love catching kirastokesfit off guard, payback after a serious kick ass #stokedsesh @bfxstudios. We‚Ä¶ http://t.co/2XLXxcvARF",40.780709,-73.9685415
"#HR #Job alert: Human Resources Assistant - 32 Hour Position | Partners HealthCare | #BelmontMA, MA http://t.co/bZzThTsvRz #Jobs",42.395497,-71.1809785
"At August Alsina &amp; Usher concert!! Ì†ΩÌ∏çÌ†ΩÌ∏ç",28.50167835,-81.36777265
"Levi's¬Æ Sales Associate PT, Riverhead, Outlet Store - Levi Strauss &amp; Co.: (#Riverhead, NY) http://t.co/CgFreGTBPw #Sales #Job",40.9371225,-72.6648935
"@RWitherspoon Help save our Witches and RT http://t.co/Tzdfrur7TY #RenewWitchesOfEastEnd THANK YOU",36.979375,-122.0311865
"Just had Manly preening my hair while sitting on my shoulder while I was petting Maggie with my left hand and Katniss with my right. Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç",41.086917,-85.1700515
